ID,"Submit Year","Start Year",Title,Description,Institution,Investigators,Discipline
ALNBRG00987N,2009,2009,"Structural Characterisation of AuCuAl Alloys: ANSTO scientist support for Vijay Bhatia during P987 (Bragg Institute)",,"University of Technology, Sydney","Ms Catherine Sheree Kealley",
UTSPG08R1,,2009,"Closing the gap: Implementing and evaluating the impact of an early literacy program in informal settings",,"University of Technology, Sydney","Prof Alastair D Pennycook; Ms Helen E Thomson; A/Prof Liam Morgan",
DP120102398,2011,2012,"Random network models with applications in biology",,"University of Technology, Sydney","Prof Alex Novikov; Dr Nerida A Cole",
DP120104159,2011,2012,"Approximate reasoning with qualitative spatial constraints involving landmarks","Human beings typically represent, communicate, understand, and reason with spatial information in a qualitative way. This feature is reflected in the AI subfield of Qualitative Spatial Reasoning (QSR). Despite significant progress in the past two decades, more and more evidence has shown that, when combined with other spatial aspects, it is inherently hard to find exact solutions for expressive topological constraints. This project aims to develop efficient reasoning mechanisms that can find approximate solutions for hybrid qualitative spatial constraints involving landmarks. Outcomes of this project will enable spatial information systems to make intelligent responses to critical and emergent queries in a very limited time.","University of Technology, Sydney","A/Prof Sanjiang Li; A/Prof Jochen Renz; Prof Anthony Cohn; Dr Nerida A Cole","Qualitative Spatial ReasoningTopological InformationApproximate SolutionQualitative Constraint Satisfaction Problem"
LE120100091,2011,2012,"A Five Laser Multichannel Flow Cytometry Cell Sorter for the University of New South Wales as part of an Advanced Flow Cytometry Network",,"University of Technology, Sydney","Prof Merlin Crossley; Prof Robyn Lynne Ward; Prof Anthony Dominic Kelleher; Prof Peter William Gunning; Prof Michelle Haber; Prof Nicholas King; Dr Lisa M Sedger; Dr Rosetta Martiniello-Wilks",
LP100100367,2009,2010,"Feeding and breeding: Rainfall effects on connectivity and fidelity of iconic coastal fishes","Large predatory fish are of great significance to recreational anglers, not only for their trophy status but also for their disproportional fecundity and contribution to future fishing.  Remarkably, the distribution and movements of large estuarine fish in estuaries and the coastal ocean are unknown, despite their importance to the national economy.  We will determine the role of freshwater discharge and oceanography on the coastal and estuarine habitat requirements, movements and home ranges of mulloway, flathead and bream from the scale of hours to years, and extend these findings to evaluate population sub structuring and connectivity in the context of a changing climate.","University of Technology, Sydney","Prof David J Booth; Dr Matthew Taylor; A/Prof Iain Suthers; Prof Charles Gray","Acoustic tracking; otolith microchemistry; habitat fidelity; fish migration; fish ecology; estuarine landscape"
LP0991564,,2009,"A Study of Contemporary Family, Social And Cultural Influence On First-Time Mothers' Decision About Infant Feeding And Early Parenting Practices","A Study of Contemporary Family, Social and Cultural Influence On First-Time Mothers' Decision About Infant Feeding And Early Parenting Practices. Breastfeeding is important to the health of babies and mothers. Despite high initiation there is a sharp decline in breastfeeding in the months after birth.","University of Technology, Sydney","A/Prof Jennifer H Fenwick",
DP120104305,2011,2012,"An Optimal Electrical Drive System for Plug-in Hybrid Electric Vehicles","Compared to a conventional hybrid electric vehicle (HEV), the plug-in HEV (PHEV) relies on a greater degree of electrical propulsion to achieve higher efficiency and lower CO2 emission. This project aims to develop an optimal electrical drive system for a PHEV with a novel hybrid powertrain architecture. Through comprehensive theoretical analysis, numerical simulation, design optimization, and experimental construction and testing, new models, design methods, control schemes, and guidelines for developing optimal PHEV drives will be established and validated, and high quality PhD students will be trained. The outcomes will provide an innovative clean and efficient transport solution and greatly strengthen the Australian automotive industry.","University of Technology, Sydney","Prof Jianguo Zhu","hybrid electric vehicleelectrical driveelectric machine"
LP0991544R2,2008,2009,"Photodesorption Phenomena and Photoreactive Nanosorbent Materials for Water and Wastewater Purification","This project will deliver enhanced nanomaterials and introduce their larger-scale production. These new materials are capable of efficiently removing pollutants from water, and will have a key role in the coupled development of a unique purification method. The developed process is versatile to provide an adjustable degree of treatment for natural pollutants and dangerous contaminants in compact, high-performance plants. The distinct advantages of this clean technology are engineered simplicity and the use of solar or artificial light instead of chemicals. The completion of this project will lead to the development and use of advanced nanomaterials for clean and cost-effective water purification and remediation technologies.'',","University of Technology, Sydney","Dr Hokyong Shon; Dr Andrew M McDonagh; Prof Ho Jong Kim","Regenerable nanosorbent, Photodesorption, Photocatalysis, Magnetic separation, Water purification, Clean technology,"
0298201,2011,2011,"Laboratory analysis - Nickel sulphide inclusion in glass",,"University of Technology, Sydney","Prof Abhi S Ray; Mr Craig A Archer; Mr Leon Jacob",
LP100200750,2009,2010,"Biologically Inspired Robotic System for Steel Bridge Condition Assessment","Australia has thousands of steel bridges which form a key infrastructure supporting urban and rural communities. Inadequate maintenance is the common cause of bridge failures which are extremely expensive in terms of human life and cost. The outcomes of this research, a bio-inspired robotic system and enabling methodologies, will bring enormous benefits to the Australian community by significantly improving worker safety, greatly reducing costs and improving efficiency of bridge condition assessment. Australia will lead the world in developing autonomous systems for infrastructure condition assessment, and will gain significant economic benefits from commercialising these advanced technologies for a huge potential market world-wide.","University of Technology, Sydney","Prof Dikai Liu; Prof Kenneth Waldron; Prof Gamini Dissanayake; Mr Daniel R Di Francesco; Ms Jaine P Stockler; TBA Research-Student","bio-inspired climbing robot, infrastructure condition assessment, bridge inspection, supervised autonomous system"
DP110103527,2010,2010,"Building ambidextrous capacity in service industries-across national study","This research aims to understand the employee and organisations factors responsible for achieving ambidexterity (that is, ability to achieve sales targets and excellent customer service, simultaneously) in service industries. Results will assist firms to increase productivity and be more competitive in domestic and international markets.","University of Technology, Sydney","Paul Patterson; Dr Yi-Ting Yu; Prof Ko De Ruyter","servicing marketing, retailing, ambidexterity, multilevel research"
0298161,2011,2011,"Non-Destructive Testing Plan Proposal for OPUS / Lyttleton Port Authority","Investigative non-destructive integrity testing for the assessment of hardwood timber pile sub-structures and pre-stressed concrete (PSC) pile substructures at Lyttleton Port Christchurch","University of Technology, Sydney","Prof Keith I Crews; Mr Iain Macdonald; Ms Debra Johnson",
DP120101763,2011,2012,"Enhancing the Quality of Science Learning Through a Representation-Intensive Pedagogy",,"University of Technology, Sydney","A/Prof Peter J Aubusson; Dr Nerida A Cole; Assoc Prof Garry Hoban",
LP0991027R2,2008,2009,"Near Infrared (IR) Laser Dyes for Latent Fingermark Detection","Human fingermarks are still a core evidence for policing because they allow the direct identification of individuals. However, currently not all surfaces are amenable to mark recovery because they interfere with the fingerprinting technique.    Through our research, we will exploit the fact that many materials do not fluoresce under near-IR light, but certain laser dyes do. We will modify laser dyes for fingermark recovery on a range of surfaces.    Outcomes:  1) Develop laser dyes as a cyanoacrylate stain for use on non-porous surfaces.  2) Develop dye-nanoparticle powders for use on non-porous surfaces.  3) Modify dyes to develop a wet powdering technique for use on adhesive or wet surfaces  4) Develop dyes for use on porous surfaces.'',","University of Technology, Sydney","Dr Philip J Maynard; Prof Claude P Roux; Dr Andrew M McDonagh; Dr Paul Kirkbride","latent fingermarks, luminescent dyes, near infrared, nanotechnology, law enforcement, fingerprints,"
AINGRA09125,2008,2009,"In-situ nucleation and growth of gold nanorods",,"University of Technology, Sydney","Ms Catherine Sheree Kealley; Ms Olivia Parker",
086/1112,,2012,"Provision of expert consultants to evaluate submissions to the pharmaceutical benefits advisory committee",,"University of Technology, Sydney","Prof Jane P Hall; A/Prof Stephen Goodall; Dr Nerida A Cole; Mr Patutai T Toki",
FT110100455,2011,2011,"Dissecting key steps of the miRNA-mediated gene regulation and its implication in immune response and cancer","miRNAs are key regulators of many biological pathways and important factors in the development of many diseases and immune responses. By studying essential steps of the miRNA pathway we will reveal the mechanism of small RNA loading, the regulation of the turnover of Argonautes, the effector proteins of the pathway, and dissect the mechanism of miRNA-mediated gene regulation. Our findings will not only advance the understanding of this important gene regulatory mechanism but it has a potential to improve RNAi and explain aspects of miRNA-mediated immune responses and the host pathogen arms race.","University of Technology, Sydney","Dr Gyorgy J Hutvagner; Dr Nerida A Cole","regulatory RNA;proteomics;protein stability"
DP1095395,,2010,"Understanding Civil Society Activists","The growing role and importance of civil society groups demands an understanding of their philosophical and intellectual underpinnings and who the people are that support their agendas. This project provides a multifaceted picture of the supporters of three critical social causes: environmental sustainability, animal welfare and economic globalisation. Understanding who these people are and what motivates them will give us a better understanding of many of the drivers of our own economic and social future, thereby helping to strengthen Australia's social and economic fabric.","University of Technology, Sydney","Prof Timothy M Devinney","Social responsibility; experiments; behavioural economics; business and social ethics; video ethnography; globalisation"
DP0985456,2008,2009,"Multiple Data Source Discovery: Group Interaction Approach","Traditional multiple data source discovery focuses on mining those patterns that are at the attribute-value level. This project will study theory and methodology for knowledge discovery from multiple data source at the attribute level.   The project will contribute new results in missing data imputation; identifying group interactions among data sources with missing data; and new theory for global pattern discovery.  These patterns are essentially different from traditional patterns, but are much more useful, such as identifying clues for snaring terrorists and difference detection for new medical product evaluation. This project will deliver a paradigm shift from extant multiple data source discovery techniques.","University of Technology, Sydney","A/Prof Shichao Zhang","Data mining, Knowledge discovery in databases, Multiple data source discovery,"
AFAANZ,2011,2011,"Changes in CEO compensation structure: Determinants and Consequences",,"University of Technology, Sydney","Dr Yaowen Shan; Prof Zoltan P Matolcsy",
DP110105218,,2011,"Measuring the impact of urban regulation on housing affordability in Australian cities and regions (University of Sydney administered)",,"University of Technology, Sydney","Dr Nicole Gurran; Dr Steven Rowley; Prof Alan Peters; A/Prof Heather I MacDonald; Prof Peter J Phibbs",
0298330,2012,2012,"South Pacific Chief Nursing and Midwifery Officers (SPCNMOA)  Meeting - Melbourne, November  2012",,"University of Technology, Sydney","Ms Michele Rumsey; Mr Craig A Archer",
SR120200004,2012,2013,"Australian Synchrotron Access Program",,"University of Technology, Sydney","Prof Michael B Cortie; Prof Ian Smith; Prof James Whisstock; Matthew C.J. Wilce; Prof Jill Trewhella; K. Nugent; Dr Leann M Tilley; Dr Paul Christopher Dastoor; Dr Stephen Best; Dr Ian Gentle; Dr Jennifer Martin; Dr Andrew Peele; Dr Paul Pigram; Dr Hugh Harris; Dr Enzo Lombi; Dr Darren Goossens; Dr Mark Ridgway; Dr Craig Buckley; Dr Carolyn Dillon; Dr Michael Lerch; Dr Hans Riesen; Dr Charles Bond; Dr Elena Ivanova; Prof Dougal McCulloch; Dr Michael Gardiner; Dr Sarah Harmer-Bassell; Dr James Downes; A/Prof Tracy Rushmer; Margaret Ackland; Prof John Rodney Turner; A/Prof Andrew Rose; Dudley Creagh; Dr Zhong-Tao Jiang; Prof Janice Aldrich-Wright; Dr Konstantin Pavlov; A/Prof Mikel Duke; Dr Benu Adhikari; Dr Jade Forwood; Dr Magdalena Wajrak",
DP0986213,2008,2009,"Enhancing Reproductive Opportunity in Australia: Reconsidering Consent, Altruism and the Legal Status of Embryos in ART Processes","This project examines whether current modes of regulation improperly limit reproductive opportunities available to prospective parents. The project will identify barriers to the use of donated gametes and of stored embryos and explore the ethics and practical utility of a wide range of alternative approaches drawn from Australian and overseas experience. We will also consider the creation of a unique form of legal status for embryos and a specific dispute resolution system to deal with conflicting interests in embryos. The major focus of the project is on crafting responsive flexible regimes to enhance reproductive opportunities; it is not to compel, coerce or commercialise reproductive practices.","University of Technology, Sydney","Prof Jenni Millbank; Prof Anita G Stuhmcke; Prof Isabel A Karpin","Reproductive opportunity, Assisted reproductive technologies, Law Reform, Health and Medical Law, Gamete donation, Embryo donation,"
EOI,2009,2010,"EOI - Impact and cost of gastrointestinal infections in a hospital setting",,"University of Technology, Sydney","Prof John T Ellis; Mr Daniel R Di Francesco",
6069,2009,2010,"Measuring Leaf, tree ring and pholem sap a13C and a180 of groundwater dependant ecosystems in a changing climate",,"University of Technology, Sydney","Prof Derek Eamus; Mr Daniel Tradd Taylor; Mr Jeffery Allan Thompson; Ms Olivia Parker",
298304,2012,2012,"EO - Elders R/E Collaroy - Balcony collapse 15/06/12 - Hunt & Hunt","Testing of timber from Carter Holt Harvey for  defect and if this defect should have been detected by the state of the art/knowledge at the time.","University of Technology, Sydney","Prof Keith I Crews; Ms Debra Johnson; Ms Linda Hamilton",
DP130104617,2012,2013,"DC Optimisation based synthesis of systems in control, signal processing and wireless communication network - DP130104617","We aim to develop an efficient iterative optimization based approach to address fundamental challenges in synthesis of complex systems with emphasis on control, signal processing and communication network. The  synthesis of these systems poses very challenging highly non-convex programs, where existing optimization solvers fail. We will investigate an efficient d.c. (difference of two convex functions/sets) spectral optimization framework capable of handling these problems. Both tailored offline iterative optimization and on-line iterative optimization algorithms will be developed","University of Technology, Sydney","Prof Tuan D Hoang; Truong nguyen; Ha Nguyen; Pierre Apkarian; Dr Shigeyuki Hosoe; Dr Heidi J Worsley","nonconvex optimization and feedback control,energy saving digital filter,wireless communication network"
DP120103405,2011,2012,"Highly ordered and tunable extracellular DNA micro- and nanopatterns for investigating the attachment mechanisms of pseudomonas aeruginosa to surfaces",,"University of Technology, Sydney","A/Prof Cynthia B Whitchurch; Dr Nerida A Cole",
DP120103730,2011,2012,"A General Bayesian Multilinear Analysis Framework for Human Behaviour Recognition","This project will develop a Bayesian multilinear analysis framework for the vast quantities of images obtained from surveillance videos. The analysis will focus on recognising and recording behaviours in order to build a database of the activities in the area under surveillance. This database will be used to combat crime and terrorism and to give warnings of hazardous situations such as overcrowding, jaywalking or trespassing in areas such as railway tracks. The advantages of the Bayesian approach are that it is logically well founded and that it makes the best use of the available information. The results will enhance Australia's key infrastructures and help maintain Australia's leading role in machine learning and computer vision.","University of Technology, Sydney","Prof Dacheng Tao; Prof Stephen Maybank; Dr Nerida A Cole","Machine LearningComputer VisionVideo SurveillanceBayesian Analysis"
FT0990811,2008,2010,"Spatial Cognition - Expressive Representation Formalisms and Effective Reasoning Mechanisms","The next generation of innovative systems such as geo-location services based on Google maps will require sophisticated support from spatial cognition.  Current formalisms for spatial knowledge neglect internal structure, lack effective reasoning mechanisms for hybrid spatial constraints, and do not reflect the hierarchical nature of spatial knowledge. This project aims to establish expressive representation formalisms of spatial knowledge and provide effective reasoning mechanisms. I will establish a formal model for representing the internal structure of complex objects, and a hierarchical approach to spatial representation and reasoning, and effective reasoning mechanisms that can cope with hybrid spatial constraints.'',","University of Technology, Sydney","A/Prof Sanjiang Li; Prof Chengqi Zhang","Spatial Cognition, Spatial Reasoning, Knowledge Representation and Reasoning, Geographical Information Sciences, Artificial Intelligence,"
DP110105200,2010,2011,"Peridinin-chlorophyll-protein complex: unraveling the unique photosynthetic apparatus of dinoflagellates in response to climatic variation.","Dinoflagellates sustain the food chain. They live in coral and in ice, and also create toxic algal blooms. This project will dissect the unique photosynthetic machinery of these organisms to learn how they adapt and thrive in extreme environments. This new knowledge will predict how dinoflagellate-based ecosystems will respond to future climate change.","University of Technology, Sydney","Prof Peter J Ralph; Prof David Kramer; Dr Yvonne Cheng","microalgae, photosynthesis, dinoflagellate, pigments."
SI1105,,2011,"Analysis of Institutional Adaptability to Redress Electricity Infrastructure Vulnerability Due to Climate Change - Subcontract",,"University of Technology, Sydney","Prof Deepak Sharma; Ms Sandra L Martin",
LE110100016,,2011,"Multi-scale fabrication facility for complex three-dimensional surface generation from nano to macro dimensions (Admin at UNSW)","Multi-scale fabrication facility for complex three-dimensional surface generation from nano to macro dimensions (Admin at UNSW)","University of Technology, Sydney","Prof Liangchi Zhang; Prof Martin Green; Prof Charles C Sorrell; A/Prof Andrew Steven Dzurak; Mrs Annie Chen; Prof Xungai Wang; Lingxue Kong; Prof Han Huang; A/Prof Kazuhiro Nogita; Prof Nong Zhang; Prof Jianguo Zhu; Dr Jin C Ji; Jiang Zheng; Dr Josip Horvat; Dr Zhenxiang Cheng; Ling Yin; A/Prof Xiaozhou Liao; Dr Yongbai Yin","free-form surface, machining, nanometre accuracy"
1920,,2009,"Price Waterhouse Coopers - Two-Day Climate Change Course",,"University of Technology, Sydney","Mr Nic Delaye; Mr Brian D Leis; Ms Sara Jellie; Mr Andrew Petersen",
DP0987387,2008,2009,"Automatic Recognition of Human Activities in Surveillance Videos: Overcoming the Curse of Dimensionality","Automated recognition of certain human activities in surveillance videos can prove critical for the security and safety of environments. To date, the effectiveness of automated activity recognition has been limited by ''''the curse of dimensionality'''' that is the difficulty of learning adequate activity models in high-dimensional spaces. This project will propose novel non-parametric approaches and dimensionality-reduction techniques to tackle this problem simultaneously from two sides. The outcome of this project will be an activity recognition technology suitable for use in real environments.","University of Technology, Sydney","Prof Massimo Piccardi","Computer Vision, Video Surveillance, Nonparametric techniques, Dimensionality reduction,"
DP110104152,2010,2011,"Extending the theory and measurement of personal values and testing relations of values to attitudes and behaviour",,"University of Technology, Sydney","Prof Jordan J Louviere; Dr Julie Anne Lee; Prof Geoffrey N Soutar; EM/Prof Shalom Schwartz",
LE110100023,2010,2011,"Integrated command and control facility for large-scale critical infrastructure management",,"University of Technology, Sydney","Prof P K Yarlagadda; Dr Clinton Fookes; Prof Massimo Piccardi; Prof Priyan Mendis; Prof Dr M Rosemann; Prof K L Mengersen; Dr Paul Barnes",
571905,2008,2009,"NHMRC Senior Research Fellowship",,"University of Technology, Sydney","A/Prof Cynthia B Whitchurch; Ms Karyn Joyner; Ms Olivia Parker",
ENVIRO,2011,2012,"The effect of pollution on marine macrophytes in New South Wales",,"University of Technology, Sydney","Dr Paul E Gribben; Dr Nerida A Cole",
298338,2012,2012,"Review of Test data and Reports for Certification of Kerto Q and Kerto S for application in Australia in accordance with AS1720.1 - 2010 - Timber Structures Design Code",,"University of Technology, Sydney","Prof Keith I Crews; Ms Debra Johnson; Mr Anu Huovinen",
LP100200033,2009,2011,"Smart Metering founding a holistic evidence-based performance evaluation.",,"University of Technology, Sydney","Dr Simon A Fane",
DP1093842,2009,2010,"The paradox of choice: Unravelling complex superannuation decisions","Australia has been a world-leader in retirement savings policy, but there remains a pervasive lack of understanding about how best to communicate complex financial information to decision-makers, along with a push by government for clearer disclosure and greater financial literacy. This project will inform regulators and the superannuation industry on how choices are made and how to present clearer, better-designed information to be understood by ordinary participants, thus encouraging active, well-informed participation rather than passive 'default' decisions. More efficient investment and benefit choices will improve the economic welfare of retirees, reduce the burden on the working-age population and improve fiscal sustainability.","University of Technology, Sydney","Ms Hazel  Bateman; Prof Jordan J Louviere; Prof Susan J Thorp; Dr Christine Eckert; A/Prof Towhid  Islam; Stephen E Satchell; Prof John Geweke",
LP120200078,2011,2012,"Bacterial Detection and Infection Control using Tethered membranes","This project will develop a rapid diagnostic for detecting live bacteria based on membrane-disruptive toxins secreted by bacterial pathogens. The toxins will be detected from the resistance decrease they cause in a sealed lipid membrane. The diagnostic will have extensive application in triaging human carriers of pathogens, rapidly detecting bacterial contamination during surgical procedures and in managing food safety. Based on the same technology, we will also develop a tool to screen bacterial ion channels to identify compounds that disrupt the channel function and identify potential non-penicillin based antibiotics.","University of Technology, Sydney","A/Prof Stella Valenzuela; Prof Boris Martinac; Dr Bruce Andrew Cornell; Ms Lee Williamson; Ms Natalie Chung","ion channel proteins,membrane biophysics,bacterial toxins,CLIC proteins"
GNT1038584,,2011,"NHMRC Standard Equipment Grant 2011",,"University of Technology, Sydney","Prof Charles G Skilbeck",
APP1028372,,2012,"Identifying critical windows of susceptibility to metal toxicants using a novel biomarker of intrauterine exposure",,"University of Technology, Sydney","A/Prof Philip A Doble",
LP100100213,2009,2010,"Developing Early Literacy in Informal Settings: Engaging Disadvantaged Aboriginal and CALD Families Outside Formal Settings","This study will research ways of engaging, supporting and sustaining the early literacy development of children and families in informal settings, in the years before school. The study is located in inner and outer urban regions of Sydney and builds on 5 years of previous work in this area. A significant proportion of children and families are still unable to access formal early childhood education prior to school. The outcomes will benefit both children and families, in socio-economically disadvantaged Aboriginal and CALD communities, who cannot access formal early childhood programs. This work addresses an under-researched area of significant need affecting long term life and education outcomes of a large group of children.","University of Technology, Sydney","Prof Alastair D Pennycook; Dr Criss Margaret Jones Diaz; Dr Ken Cruickshank; A/Prof Garth Alperstein; A/Prof Liam Morgan; A/Prof Pauline F Gibbons",
DP110104108,2010,2011,"Theorising the relationship between birth unit design and the communication patterns of labouring women and their maternity care providers","The architectural design of hospital birth spaces has a major influence on the quality of communication between women and their care providers and the ability to experience a safe, satisfying birth. This project aims to identify the key features of optimal birth unit design that will enhance communication and thereby improve women's experiences.","University of Technology, Sydney","Prof Maralyn Foureur; Prof Caroline S Homer; A/Prof Jennifer H Fenwick; Prof Ian Forbes; Miss Priya Narula; Ms Helen E Thomson","birth environment, communication, birthing women, maternity care providers."
LE110100052,,2011,"Hybrid testing facility for structures under extreme loads",,"University of Technology, Sydney","Prof Riadh Al-Mahaidi; Prof Bijan Samali; Prof John Wilson; Prof Jay Sanjayan; Prof Emad Gad; Prof Xiao-Ling Zhao; Prof Brian Uy; A/Prof Steven Foster; Assoc. Prof. Nicholas Haritos; Prof Mahen Mahendran; Prof Michael Griffith; Prof Yi-Min (Mike) Xie; Dr Chunhui yang; A/Prof Sam Fragomeni; Dr Natalie LLoyd; Prof Mark A Bradford; Prof Raymond Ian Gilbert; A/Prof Nelson Lam; Prof Yang Xiang; Prof Manicka Dhanasekar; Dr Bernard Rolfe; A/Prof Collin Duffield; Dr Pathegama Ranjith; A/Prof Arul Arulrajah; EM/Prof Vijaya Rangan; Dr Yu Bai; Dr Maurice Guerrieri",
LP120100422,,2012,"Technology and innovation management in high risk situations",,"University of Technology, Sydney","Prof Timothy M Devinney; Mr Tim Coltman; Dr Rajeev Sharma; Prof Siggi  Gudergan; Dr Benjamin P Brooks; Dr Nidthida Lin",
DP0988044,2008,2009,"The value of CSR to close stakeholders: A discrete choice modelling approach",,"University of Technology, Sydney","Prof Timothy M Devinney; A/Prof Patrice Auger; Prof Grahame R Dowling",
488502,2007,2009,"Integrons, mobile gene cassettes and pathogencity in vibrio cholerae","To cunduct a mulitdisciplinary analysis of V.cholerae associated cassette arrays to investigate their evolutionary role they play in this species, their ability to be used as an accurate and raid tool for identification of pathogenic strains and the extent to which mobile protiens contribute pathogenicity.","University of Technology, Sydney","Prof Harold Stokes; Mr Daniel R Di Francesco; Mr Paul M.G. Curmi; Ms Olivia Parker; Prof Ian Paulsen; Dr Maurizio Labbate; A/Prof Robert Drant Willows; Dr Bridget C Mabbutt; Prof Mark Barker; Dr Ruiting Lan",
CG9-1061,,2009,"Resources and Methodologies for learning and teaching effective communication in emergency health care settings",,"University of Technology, Sydney","Prof Diana M Slade; Ms Adizatu Yunusa; Ms Olivia Parker",
LP100100693,2009,2010,"A study investigating the feasibility of implementing a National approach to child and family health services.","Understanding and strengthening the way in which universal health services are provided to pregnant women, children and families has the potential to impact over a million Australian families annually. The findings of this study will have immediate national application as federal, stage, and territory governments work towards implementing a national approach to child and family health services. The findings will inform effective multidisciplinary collaboration and service integration, address service gaps and duplication and lead to increased access to services. This study will generate new knowledge about characteristic s of organisations, service delivery and professions that facilitate or hinder innovation.","University of Technology, Sydney","Prof Virginia Schmied; Ms Susan Geraldine Kruske; Prof Caroline S Homer; EM/Prof Lesley Barclay; Mr Ian R Wilson; Prof Cathrine M Fowler; Dr Michael Fasher; Ms Lynn  Kemp; Dr Sharon Goldfeld; Dr Barbara Vernon; Dr Cecelia Randles","universal health services, child health, family health, midwifery, general practice, child and family health nursing, inter-professional collaboration, primary health care, health promotion."
48379/15,,2011,"Monitoring and Evaluation Specialist: Climate Change Adaptation Programming Mission (48379/15)",,"University of Technology, Sydney","Ms Joanne Chong; Ms Vicky Boutas",
0298296,2012,2012,"Second series Once Upon a Time. Punchbowl.",,"University of Technology, Sydney","Prof Andrew H Jakubowicz; Mr Craig A Archer; Ms Sue Clothier",
630653,,2011,"Social and Cultural Resilience and Emotional wellbeing of Aboriginal Mothers in prison (SCREAM)",,"University of Technology, Sydney","Prof Juanita Sherwood; Elizabeth Sullivan; Ms Jocelyn Jones; Assoc Prof Eileen Baldry; A/Prof Tony Butler; A/Prof Marisa Gilles; Ms Adizatu Yunusa",
DP1096356,2009,2010,"Improved design and control of brushless doubly-fed reluctance machine generators for wind power applications","The growing importance of the reduction in greenhouse gas emissions over the coming years is driving the increased usage of renewable energy sources  such as wind power. Currently the cost of wind energy is considerably higher than fossil fuel energy sources. Part of the reason for this is the initial cost and ongoing maintenance of the wind turbines. The proposed research considers a new kind of generator based on the Brushless Doubly Fed Machine (BDFRM) that has the potential to lower the initial cost of the generator/inverter hardware of the wind turbine,  and also decrease the ongoing maintenance costs. If the research is able to show that the BDFRM is able to realise its potential, then this will aid the further use of wind energy.","University of Technology, Sydney","A/Prof David G Dorrell",
LP110100698,2010,2011,"Determining the factors influencing the success of private and community-owned Indigenous businesses across remote, regional and urban Australia - LP110100698",,"University of Technology, Sydney","Prof John H Collins; Prof Mark D Morrison; Prof Dennis L Foley; Dr Branka Krivokapic-Skoko; Dr Parikshit K Basu; Mr David K Brudenall; Mr Matthew B Nogrady; Ms Anne M Redman",
298313,2012,2012,"AusAID Nursing Schools Audit for HHISP (JTAI)",,"University of Technology, Sydney","Ms Michele Rumsey; Ms Kate Billings",
DP130104074,2012,2013,"A New Theoretical Approach to Pension Fund Economics, Asset Management and Insurance","The project will provide a groundbreaking approach to the pricing and hedging of long dated contracts, as typical for pensions, insurance policies and variable annuities. A paradigm shift is proposed, which allows the design of sustainable pension schemes, significantly less expensive to create than is possible under current paradigms. Based on recent theoretical insights under Platen's benchmark approach, drawdown constrained portfolios will be constructed with maximum long term growth rate. A new theoretical level of understanding for risk and asset management in pension schemes will be reached that produces significantly increased retirement benefits.","University of Technology, Sydney","Prof Eckhard Platen; Prof Erik Schlogl","quantitative finance,funding annuities,pension-fund economics"
0298294,2012,2012,"Advisor to SBS on: script development, series ideas and new projects",,"University of Technology, Sydney","Prof Andrew H Jakubowicz; Mr Joseph Maxwell; Mr Craig A Archer",
LP0775348R1,,2009,"06034 - Impact of Urban Water Conservation Strategies on End-Use Consumption in Residential Households","""In 2006, Dr Rodney Stewart of Griffith University with the Institute Director, Prof. Stuart White, were awarded an Australian Research Council Linkage Grant, in collaboration with Wide Bay Water Corporation, Gold Coast Water and the Queensland Water Directorate.  The aim of the project is to investigate the impact of urban water conservation strategies on end-use water consumption in residential households. The research will be undertaken in collaboration with the water utility partners and will use smart water meters and data loggers to gauge the degree of water savings attributable to savings programs.""","University of Technology, Sydney","Prof Stuart White; Ms Jaine P Stockler; Ms Andrea J Turner; A/Prof Damien Giurco; Ms Helen E Thomson",
LE0989492,,2009,"Dynamic texture measurement facility",,"University of Technology, Sydney","Prof Guoxiu Wang",
LP0990084R1,2008,2009,"Devices that use Ion Channels","This project aims to develop novel biomimetic sensor devices that will have wide applicability allowing researchers to study ion channel proteins, membrane transport processes and as a drug screening tool. The project will also develop a simple biomimetic probe for Electromagnetic Radiation Compatibility (EMC). This project is in a unique position of having a project team which combines expertise in classical ion channel studies, along with real freedom-to-operate by holding the recently licensed primary world-wide patent in tethered lipid membranes and the primary world-wide patent in therapeutic drug delivery using electroconductive polymers coupled to ultrasound.'',","University of Technology, Sydney","A/Prof Stella Valenzuela; A/Prof Donald K Martin; Dr Bruce A Cornell; Ms Karyn Joyner","nanobiotechnology, lipid bilayer membrane, ion channel, biosensor, drug discovery,"
5401,,2012,"The Unpublished Writings of J.M. Keynes - Stage 1",,"University of Technology, Sydney","Prof Roderick O'Donnell; Ms Cherry Y Siu; Dr Heidi J Worsley",
568787,,2009,"Sydney multisite intervention of laughterbosses and elderclowns (SMILE): An RCT of humour therapy in residential care",,"University of Technology, Sydney","Prof Lynnette L Chenoweth; Prof Henry Brodaty",
DP120101148,2011,2012,"Strategies to improve heart disease outcomes in Australian women","Heart disease is the major killer of Australian women, yet many women remain unaware and underestimate their risk. Heart disease occurs more commonly in older women who face numerous other health and social life changes.  Employing a gender based approach this project seeks to: (1) undertake a systematic review to identify strategies to improve women's heart health at the level of patient, provider and system level; (2) undertake a randomised controlled trial of an intervention to improve outcomes in women following an acute cardiac event.","University of Technology, Sydney","Prof Patricia M Davidson; Dr Michelle DiGiacomo; Dr Phillip J Newton","Cardiac RehabilitationWomen's HealthCardiovascular diseaseSecondary Prevention"
